fecha_vigencia,valor_jus,fuente
2025-12-01,37714.22,TSJ Cordoba
2025-11-01,36938.51,TSJ Cordoba
2025-09-01,36249.76,TSJ Cordoba
2025-08-01,35013.64,TSJ Cordoba
2025-07-01,34564.30,TSJ Cordoba
2025-06-01,33820.25,TSJ Cordoba
2025-05-01,32995.37,TSJ Cordoba
2025-04-01,32348.40,TSJ Cordoba
2025-01-01,31776.42,TSJ Cordoba
2024-12-01,29652.21,TSJ Cordoba
2024-10-01,29070.79,TSJ Cordoba
2024-08-01,27269.63,TSJ Cordoba
2024-07-01,25115.61,TSJ Cordoba
2024-06-01,23472.53,TSJ Cordoba
2024-05-01,21733.82,TSJ Cordoba
2024-03-01,19405.20,TSJ Cordoba
2024-01-01,14617.85,TSJ Cordoba
2023-11-01,12136.03,TSJ Cordoba
2023-10-01,9850.67,TSJ Cordoba
2023-07-01,9249.46,TSJ Cordoba
2023-04-01,7142.28,TSJ Cordoba
2023-01-01,5968.91,TSJ Cordoba
2022-10-01,4974.09,TSJ Cordoba
2022-09-01,4692.54,TSJ Cordoba
2022-06-01,4305.08,TSJ Cordoba
2022-04-01,3557.92,TSJ Cordoba
2021-12-01,3093.84,TSJ Cordoba
2021-10-01,2946.51,TSJ Cordoba
2021-07-01,2381.02,TSJ Cordoba
2021-05-01,1985.84,TSJ Cordoba
2021-01-01,1847.29,TSJ Cordoba
2020-12-01,1679.35,TSJ Cordoba
2020-08-01,1526.68,TSJ Cordoba
2020-07-01,1387.90,TSJ Cordoba
2020-01-01,1526.68,TSJ Cordoba
2019-10-01,1261.72,TSJ Cordoba
2019-07-01,1147.02,TSJ Cordoba
2019-04-01,992.55,TSJ Cordoba
2019-01-01,902.32,TSJ Cordoba
2018-09-01,820.29,TSJ Cordoba
2018-05-01,745.72,TSJ Cordoba
2018-03-01,677.93,TSJ Cordoba
2017-08-01,645.65,TSJ Cordoba
2017-05-01,586.95,TSJ Cordoba
2017-03-01,533.59,TSJ Cordoba
2016-12-01,515.94,TSJ Cordoba
2016-07-01,509.32,TSJ Cordoba
2016-04-01,445.83,TSJ Cordoba
2016-03-01,421.15,TSJ Cordoba
2015-12-01,411.58,TSJ Cordoba
2015-08-01,390.09,TSJ Cordoba
2015-04-01,370.55,TSJ Cordoba
2015-01-01,350.72,TSJ Cordoba
2014-12-01,337.04,TSJ Cordoba
2014-08-01,305.18,TSJ Cordoba
2014-05-01,263.63,TSJ Cordoba
2014-03-05,238.36,TSJ Cordoba
2013-12-01,226.36,TSJ Cordoba
2013-11-01,217.01,TSJ Cordoba
2013-06-01,196.03,TSJ Cordoba
2013-02-01,177.00,TSJ Cordoba
2012-12-01,159.27,TSJ Cordoba
2012-09-01,140.61,TSJ Cordoba
2012-04-01,132.53,TSJ Cordoba
2011-08-01,116.33,TSJ Cordoba
2011-03-01,104.58,TSJ Cordoba
2010-11-01,89.74,TSJ Cordoba
2010-09-01,84.80,TSJ Cordoba
2010-06-01,73.74,TSJ Cordoba
2010-05-01,73.72,TSJ Cordoba
2010-03-01,69.59,TSJ Cordoba
2008-08-01,62.10,TSJ Cordoba
2008-06-01,57.80,TSJ Cordoba
2008-04-01,53.41,TSJ Cordoba
2008-01-17,50.00,TSJ Cordoba
1997-07-28,24.51,TSJ Cordoba
